# Visit  CCD  FakeID  FakeX  FakeY   DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  SdssMiter ExpMiter DevMiter parentID  nChild  extended
1236 24  92029 1055.16 3083.81  -0.01  -0.07  22.223  0.022  22.222  22.000  23.059   3.425   0.926  35.769   3.050   0.893  37.347   4.174   0.897  46.968   0.000 0 0 0 0 0 1 
1236 24  42924  161.31 1308.79  -0.08  -0.02  23.068  0.030  23.068  22.869  23.019   3.248   0.930  68.599   2.829   0.862  63.928   3.746   0.831  62.965   0.000 0 0 0 0 0 1 
1236 24 128458 1568.10  628.44   0.20  -0.07  22.128  0.021  22.146  21.543  22.141   4.974   0.897  73.739   5.693   0.841  70.208  14.720   0.791  68.289   0.039 0 0 0 0 0 1 
1236 24 143346 1847.70 4122.69   0.13   0.03     nan    nan     nan     nan     nan   2.993   0.946  42.234     nan     nan     nan     nan     nan     nan     nan 0 0 0 0 0 1 
1236 24  11711 1728.78 3036.33   0.18  -0.15  21.976  0.021  22.495  21.923  22.267   3.384   0.907  -1.577   3.241   0.862  -0.239   7.896   0.814  41.929   0.921 0 0 0 1061818994788109 0 1 
1236 24 191778  474.36  943.64   0.03  -0.02  20.941  0.019  20.972  20.479  20.940   4.505   0.957  65.889   4.990   0.923  63.657  10.912   0.919  66.814   0.075 0 0 0 1061818994786866 0 1 
1236 24  39680  670.38  682.88   0.06   0.72  22.496  0.023  22.622  22.077  22.535   4.525   0.816   2.498   5.099   0.735   3.545  12.310   0.668   4.021   0.271 0 0 0 1061818994786699 0 1 
1236 24  97874  703.83 3217.10  -0.11   0.08  22.237  0.022  22.313  21.871  22.300   3.945   0.945  26.314   4.157   0.890  17.381   8.619   0.825  11.066   0.196 0 0 0 1061818994788161 0 1 
1236 24  44066 1847.54 3991.25  -1.00  -1.00  -1.000 -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000 -1 -1 -1 -1 -1 -1 
1236 24  64886  104.53 1029.84  -0.01  -0.14  21.553  0.020  21.552  21.386  21.533   2.975   0.993  38.469   2.426   0.989  -7.301   2.937   0.972 -10.786   0.000 0 0 0 0 0 1 
1236 24   7853  117.33 2237.98   0.97   0.27  22.773  0.024  22.772  22.328  22.825   5.432   0.634  30.351   5.870   0.530  28.372  12.917   0.455  26.016   0.000 0 0 0 0 0 1 
1236 24   5974  414.22 2203.52   0.17  -0.20     nan    nan     nan     nan     nan   3.246   0.953  44.552     nan     nan     nan     nan     nan     nan     nan 0 0 0 0 2 1 
1236 24 152895 1027.56 1137.91   0.19  -0.07  23.047  0.029  23.047  22.730     nan   3.615   0.965  76.555   3.433   0.899  71.589   6.131   0.764  66.188   0.000 0 0 0 0 0 1 
1236 24 188161 1175.39 2882.89   0.19  -0.25  22.938  0.027  23.208  22.728  23.013   4.028   0.778 -27.463   4.293   0.674 -26.742   8.894   0.686 -26.798   0.606 0 0 0 1061818994787973 0 1 
1236 24  57737  575.22 3264.01  -0.14  -0.13  23.123  0.030  23.223  22.914  23.127   3.423   0.931  19.751   3.286   0.872  26.735   5.527   0.776  26.196   0.344 0 0 0 1061818994788188 0 1 
1236 24  23490   24.01  421.26  -0.01  -0.26     nan    nan     nan     nan  20.970   3.756   0.944  37.129     nan     nan     nan     nan     nan     nan     nan 0 0 0 1061818994786557 0 1 
1236 24 193516  641.53 1530.94  -0.05  -0.03  20.414  0.019  20.473  19.978  20.439   4.713   0.973 -70.824   5.321   0.963 -68.054  11.792   0.947 -62.037   0.138 0 0 0 0 0 1 
1236 24  31984  576.00 3649.48   0.03  -0.43  22.255  0.021  22.344  21.741  22.329   5.491   0.828 -16.091   6.413   0.768 -16.175  16.637   0.728 -19.255   0.181 0 0 0 1061818994788403 0 1 
1236 24  67103   69.55 3253.27  -0.16   0.28  23.060  0.031  23.060  23.016  30.384   2.567   0.956  21.819   1.692   0.946  12.943   1.451   0.928  65.481   0.000 0 0 0 0 0 1 
1236 24 159317  747.46  889.59  -0.16  -0.05  22.974  0.028  22.974  22.676  22.969   3.472   0.928 -50.180   3.245   0.861 -46.038   5.269   0.810 -40.646   0.000 0 0 0 0 0 1 
1236 24 154065 1831.51 2531.94  -0.30  -0.15  21.875  0.021  21.969  21.448  21.941   4.420   0.968  23.083   4.766   0.970  30.863  10.664   0.980  23.402   0.211 0 0 0 0 0 1 
1236 24 192849 1936.67 1813.37   0.88   0.99  22.142  0.021  22.142  21.552  22.099   5.794   0.606  59.075   6.881   0.497  58.773  18.151   0.431  58.287   0.000 0 0 0 0 0 1 
1236 24 172622 1862.93 1536.17   0.19  -0.17  22.060  0.021  22.059  21.593  22.082   4.279   0.975 -16.438   4.514   0.936 -25.945   9.768   0.881 -26.970   0.000 0 0 0 0 0 1 
1236 24 140503  352.84 3200.67  -0.13  -0.03  22.216  0.022  22.215  22.022  22.217   3.140   0.974 -12.629   2.698   0.937 -21.803   3.480   0.926 -22.298   0.000 0 0 0 0 0 1 
1236 24  76063   85.95  175.71  -0.05   0.08  21.065  0.020  21.099  20.558  21.091   4.696   0.983  77.520   5.254   0.986  34.197  12.319   0.974  23.528   0.077 0 0 0 1061818994786412 0 1 
1236 24  29752  683.10 2982.43   0.04  -0.01  20.616  0.019  21.324  20.549  21.104   5.079   0.963   4.833   6.931   0.864 -58.468  22.808   0.731 -57.992   0.935 0 0 0 0 2 1 
1236 24  90012  177.01 3492.63  -0.04  -0.03  20.984  0.020  21.019  20.526  21.003   4.509   0.982  25.005   4.992   0.967   7.940  11.028   0.947  -0.792   0.083 0 0 0 0 0 1 
1236 24  68865  555.15 1023.49  -1.00  -1.00  -1.000 -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000 -1 -1 -1 -1 -1 -1 
1236 24 147025  562.83 3175.44   0.27  -0.90     nan    nan     nan     nan  20.956   5.660   0.835  59.852     nan     nan     nan     nan     nan     nan     nan 0 0 0 1061818994788089 0 1 
1236 24 121652 1987.26 2519.65   0.74   0.35  21.291  0.020  21.452  20.649  21.450  10.588   0.607  32.623  12.767   0.620  32.636  41.648   0.631  32.611   0.256 0 0 0 0 2 1 
1236 24 187187  602.96 3335.45   0.42  -0.44  22.588  0.023  22.589  22.124  22.638   4.292   0.864   9.180   4.594   0.794  10.466   9.889   0.737  12.542   0.005 0 0 0 1061818994788224 0 1 
1236 24 152309  719.52 3853.41   0.21  -0.10  22.659  0.024  22.658  22.213  22.971   4.352   0.877  27.573   4.407   0.866  31.154   8.888   0.873  43.423   0.000 0 0 0 0 0 1 
1236 24 128153  399.07  951.03  -0.04  -0.21  21.784  0.020  22.037  21.609  21.831   3.630   0.943  64.487   3.714   0.909  66.228   7.009   0.942  72.127   0.627 0 0 0 1061818994786878 0 1 
1236 24 189744 1170.86 2467.44  -0.02  -0.35  21.716  0.020  21.715  21.130  21.709   4.843   0.927  34.357   5.472   0.899  34.995  13.677   0.876  33.135   0.000 0 0 0 0 0 1 
1236 24  35795 1815.10  738.43  -0.28  -0.17  22.859  0.027  22.859  22.578     nan   3.629   0.880 -78.702   3.433   0.778 -81.652   5.576   0.688 -87.994   0.000 0 0 0 0 0 1 
1236 24  46491 1037.66 1608.94  -0.51  -1.28  23.357  0.033  23.357  22.832     nan   5.028   0.728 -51.648   5.546   0.617 -52.104  13.273   0.543 -53.006   0.000 0 0 0 0 0 1 
1236 24 134813 1030.24  270.76   0.61  -0.74     nan    nan     nan     nan     nan   3.428   0.971  55.977     nan     nan     nan     nan     nan     nan     nan 0 0 0 0 2 1 
1236 24  61881  105.79 3162.93  -0.07   0.16  21.811  0.020  21.894  21.389  21.863   4.484   0.962 -36.621   4.921   0.939 -32.978  11.145   0.895 -30.814   0.190 0 0 0 1061818994788110 0 1 
1236 24 180484  369.68 1661.06   0.12  -0.03  22.496  0.022  22.496  21.727     nan   5.896   0.950  43.642   7.064   0.932  33.352  22.390   0.909  27.905   0.000 0 0 0 0 0 1 
1236 24 100675 1797.21  154.91   0.13  -1.11  22.266  0.022  22.265  21.930  22.229   4.024   0.795 -88.739   3.945   0.706 -86.575   6.893   0.668 -84.982   0.000 0 0 0 1061818994786404 0 1 
1236 24  71258 1107.58  783.79  -0.08  -0.11  21.260  0.020  21.297  20.990  21.265   3.650   0.960  -1.433   3.597   0.906  -3.049   5.892   0.869  -3.405   0.130 0 0 0 0 0 1 
1236 24  21656   62.19 4099.62   1.19  -0.37  21.466  0.020  21.718  20.983  21.520   6.854   0.666 -54.227   8.812   0.614 -53.212  27.320   0.565 -51.954   0.411 0 0 0 1061818994788600 0 1 
1236 24  62083  802.06  922.10   0.03  -0.13  22.955  0.026  22.955  22.271     nan   4.887   0.938 -14.730   5.456   0.916  -0.778  15.185   0.904   7.658   0.000 0 0 0 0 0 1 
1236 24  86596  483.32 1551.63   0.24   0.06  23.021  0.028  23.021  22.717     nan   3.499   0.957  74.578   3.215   0.924 -86.959   5.222   0.904 -78.395   0.000 0 0 0 0 0 1 
1236 24  75227  488.09  264.28   0.11   0.05  19.934  0.019  19.934  19.065  19.925   7.213   0.968 -87.541   9.226   0.969  87.895  32.579   0.963 -88.099   0.000 0 0 0 0 0 1 
