# Visit  CCD  FakeID  FakeX  FakeY   DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  SdssMiter ExpMiter DevMiter parentID  nChild  extended
1236 24 198301  609.49 3755.03  -0.07  -0.02  20.984  0.019  21.277  20.978  21.084   3.131   0.958  21.754   2.917   0.931  27.401   4.438   0.929  23.294   0.979 0 0 0 0 0 1 
1236 24  73401  918.97 1960.33   0.19  -0.31  22.605  0.025  22.842  22.606  22.656   3.246   0.830 -31.065   3.257   0.610 -28.497   4.823   0.475 -28.827   1.000 0 0 0 0 0 1 
1236 24  39202  227.57  323.79   0.02  -0.09  20.729  0.019  21.080  20.674  20.934   3.751   0.990 -47.303   4.038   0.985  54.188   7.499   0.970  44.753   0.877 0 0 0 1061818994786514 0 1 
1236 24 114766  597.78  514.47  -0.06   0.03  22.884  0.028  23.041  22.865  22.955   2.860   0.963   8.765   2.280   0.896   2.404   2.863   0.800  -0.168   0.890 0 0 0 0 0 1 
1236 24 132300  583.07 1864.82  -0.04  -0.06  19.772  0.019  20.306  19.772  20.032   3.695   0.981 -15.977   4.286   0.960 -38.964   9.451   0.931 -54.531   1.000 0 0 0 0 6 1 
1236 24  79959 1521.32 1254.48  -0.04   0.02  22.453  0.024  22.717  22.454  22.502   2.802   0.972 -49.147   2.252   0.901 -66.600   3.379   0.806  83.862   1.000 0 0 0 0 2 1 
1236 24  21645 1397.62 3258.72   0.01  -0.18  22.281  0.022  22.627  22.259  22.487   3.599   0.922  -1.431   3.560   0.908  -4.490   6.206   0.890 -10.291   0.946 0 0 0 0 0 1 
1236 24  62523  653.42  608.02   0.02  -0.04  20.666  0.019  21.020  20.663  20.831   3.389   0.993 -89.798   3.436   0.974  76.815   5.763   0.978  81.488   0.993 0 0 0 0 0 1 
1236 24  71231  217.78 2472.23  -0.24   0.03  23.312  0.036  23.410  23.312  23.227   2.273   0.929 -59.516   1.308   0.563 -63.182   1.205   0.737 -50.056   1.000 0 0 0 0 0 1 
1236 24  99168   98.84 1149.29  -0.27  -0.19  22.688  0.025  22.885  22.579  22.890   4.034   0.791   5.441   4.137   0.679   5.581   6.832   0.616   4.570   0.661 0 0 0 0 0 1 
1236 24  77900 1815.08 3448.19  -0.02  -0.04  19.977  0.019  20.244  19.979  20.050   2.988   0.962  25.513   2.676   0.945  31.053   3.827   0.926  19.534   1.000 0 0 0 0 3 1 
1236 24 175936 1409.30 2162.54   0.19  -0.55  23.137  0.031  23.465  23.105  23.335   3.413   0.855  39.999   3.210   0.744  36.871   5.472   0.746  33.969   0.919 0 0 0 1061818994787571 0 1 
1236 24  75251  417.89 3238.36  -0.01  -0.13  21.551  0.020  22.024  21.551  21.853   4.097   0.878  88.315   5.013   0.744  84.296  10.585   0.687  83.086   1.000 0 0 0 0 0 1 
1236 24 132496  302.12 3902.85  -0.01  -0.04  21.251  0.020  21.445  21.252  21.286   2.702   0.966  29.439   2.047   0.955  34.973   2.487   0.981  43.897   1.000 0 0 0 0 2 1 
1236 24 153660 1141.23 1801.01   0.08  -0.08  22.431  0.024  22.569  22.397  22.444   2.931   0.884  58.742   2.415   0.750  60.318   2.911   0.718  60.257   0.807 0 0 0 0 0 1 
1236 24 105659 1365.46 3798.82  -0.08  -0.08  22.280  0.022  22.419  22.223  22.335   2.902   0.974   7.077   2.331   0.976  -5.222   2.995   0.930  -5.721   0.711 0 0 0 0 0 1 
1236 24  88853   75.44 2229.77  -0.18   0.15  22.676  0.025  22.842  22.562  22.680   3.435   0.835 -84.384   3.240   0.714 -82.353   4.877   0.702 -77.728   0.613 0 0 0 0 0 1 
1236 24  47496 1782.00  969.57   0.10   0.09  21.269  0.020  21.363  21.250  21.264   2.489   0.987  16.087   1.603   0.961 -28.578   1.642   0.940 -33.271   0.832 0 0 0 1061818994786917 0 1 
1236 24  62714  430.63 1853.73   0.01  -0.16  21.467  0.020  21.949  21.437  21.735   3.997   0.895  43.158   4.428   0.817  42.869  10.245   0.701  41.241   0.951 0 0 0 0 2 1 
